N,Nombre del Negocio,Categoria,Direccion,Instagram,WhatsApp_Telefono,Link_contacto,Calificacion,Motivo_calificacion,Mensaje_Instagram,Mensaje_WhatsApp,Estado_lead,Fecha_contacto,Notas
113,Rincón Pituco,Decoración/Regalería,"Santamarina 1280, Victoria, San Fernando",@rinconpituco,-,https://instagram.com/rinconpituco,Media,Negocio familiar de deco para hogar y regalos en Victoria. Artículos originales.,Hola! Vi que en Rincón Pituco tienen una selección muy linda para el hogar y para regalar. Nosotros hacemos kits de huerta urbana y son un regalo muy original y especial para quien le gusta cocinar con ingredientes frescos. ¿Les cuento cómo funciona?,Hola! Les escribo de Acrule Hidroponía. Vi que Rincón Pituco tiene una selección muy linda de artículos de deco y regalos. Nosotros hacemos kits de huerta urbana que son un regalo muy original. ¿Les cuento cómo funciona?,Pendiente,2026-04-21,
114,Corralón La 202,Ferretería/Corralón,"Hipólito Irigoyen 2360, San Fernando",-,+5491147458645,-,Media,Corralón de materiales en San Fernando. Buena variedad de productos para el hogar y construcción.,Hola! Vi que Corralón La 202 tiene una buena oferta de materiales en San Fernando. Nosotros hacemos kits de huerta urbana hidropónica que pueden ser un buen complemento para la sección jardín o exterior. Les cuento?,Hola! Les escribo de Acrule Hidroponía. Vi Corralón La 202 en San Fernando y me pareció un buen punto para agregar kits de huerta urbana hidropónica a la sección de jardín. ¿Les cuento cómo funciona?,Pendiente,2026-04-21,
115,Mundo Provenzal,Muebles/Decoración,"Rivadavia 2417, San Fernando",-,-,-,Baja,Mueblería con estilo provenzal y retro. Venden muebles y accesorios de estilo rústico/natural.,Hola! Vi que Mundo Provenzal tiene una propuesta muy especial con el estilo provenzal y retro en San Fernando. Nosotros hacemos kits de huerta urbana que tienen un estilo rústico y natural que creo puede ir muy bien con esa propuesta. Les cuento?,Hola! Les escribo de Acrule Hidroponía. Vi que Mundo Provenzal tiene una propuesta muy linda de estilo provenzal en San Fernando. Nosotros hacemos kits de huerta urbana con estética natural que creo puede ir bien con ese perfil de clientes. ¿Les cuento?,Pendiente,2026-04-21,
116,Duarte e Hijos Corralón,Ferretería/Corralón,"Int. Arnoldi 1737, San Fernando",-,-,-,Baja,Corralón de materiales en San Fernando. Posible sección de productos para jardín y exterior.,Hola! Vi que Duarte e Hijos tiene una buena propuesta de materiales en San Fernando. Nosotros hacemos kits de huerta urbana hidropónica que pueden ser un buen complemento para la sección jardín/hogar. Les cuento?,Hola! Les escribo de Acrule Hidroponía. Vi que Duarte e Hijos tiene una buena propuesta de materiales en San Fernando. Nosotros hacemos kits de huerta urbana que pueden ir bien en la sección jardín/exterior. ¿Les cuento?,Pendiente,2026-04-21,
117,Green Lovers,Vivero,"Charcas 2246, Beccar, San Isidro",@green.lovers.sanisidro,+5491567202439,https://instagram.com/green.lovers.sanisidro,Alta,"Vivero boutique zona norte, perfil ideal kits hidropónicos","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Green Lovers con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Green Lovers con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,Agregado 2026-04-21 (zonas San Isidro/Pilar/Torcuato/Pacheco/Campana)
118,Vivero de las Carreras,Vivero,San Isidro,@viverodelascarreras,+5491164488092,https://instagram.com/viverodelascarreras,Alta,"Vivero activo zona San Isidro, IG activo","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero de las Carreras con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero de las Carreras con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,Agregado 2026-04-21 (zonas San Isidro/Pilar/Torcuato/Pacheco/Campana)
119,HAVISPA,Vivero,"Boulogne, San Isidro",@havispa,+5491131987843,https://instagram.com/havispa,Alta,"Vivero agroecológico, afinidad alta con huerta hidropónica","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en HAVISPA con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en HAVISPA con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,Agregado 2026-04-21 (zonas San Isidro/Pilar/Torcuato/Pacheco/Campana)
120,Vivero Alma Fuerte,Vivero,San Isidro,@viveroalmafuerte,+5491555730300,https://instagram.com/viveroalmafuerte,Media,Vivero local San Isidro con IG activo,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Alma Fuerte con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Alma Fuerte con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,Agregado 2026-04-21 (zonas San Isidro/Pilar/Torcuato/Pacheco/Campana)
121,Vivero Doña Flor,Vivero,"Francisco Ramírez 60, Pilar Centro",@viverodfpilar,+542304664749,https://instagram.com/viverodfpilar,Alta,"Vivero grande Pilar centro (9k IG), alto tráfico","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Doña Flor con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Doña Flor con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,Agregado 2026-04-21 (zonas San Isidro/Pilar/Torcuato/Pacheco/Campana)
122,Vivero Raíces Pilar,Vivero,"Av. José E. Uriburu 1150, Pilar",@viveroraices,+5491155131341,https://instagram.com/viveroraices,Alta,"Vivero consolidado Pilar Ruta 8, 5k IG","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Raíces Pilar con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Raíces Pilar con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,Agregado 2026-04-21 (zonas San Isidro/Pilar/Torcuato/Pacheco/Campana)
123,Plantas Pilar Vivero,Vivero,Pilar,@plantaspilar.vivero,-,https://instagram.com/plantaspilar.vivero,Media,"Vivero Pilar con delivery, perfil acorde kits urbanos","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Plantas Pilar Vivero con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Plantas Pilar Vivero con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,Agregado 2026-04-21 (zonas San Isidro/Pilar/Torcuato/Pacheco/Campana)
124,Grupo Jardín del Pilar,Paisajismo,Pilar,@jardindelpilar,-,https://instagram.com/jardindelpilar,Media,"Paisajismo Pilar, potencial venta a clientes finales","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me gustó mucho la propuesta de Grupo Jardín del Pilar con los espacios verdes, sentimos que hay mucha sintonía con lo que proponemos, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me gustó mucho la propuesta de Grupo Jardín del Pilar con los espacios verdes, sentimos que hay mucha sintonía con lo que proponemos, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,Agregado 2026-04-21 (zonas San Isidro/Pilar/Torcuato/Pacheco/Campana)
125,Dieteticas Naturales Pilar,Dietetica,"Pedro Lagrave 455, Pilar",@dieteticapilar,-,https://instagram.com/dieteticapilar,Media,"Dietética Pilar con IG, público target huerta urbana","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta saludable que tienen en Dieteticas Naturales Pilar y creemos que el cultivo en casa es un complemento natural para la gente que los elige, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta saludable que tienen en Dieteticas Naturales Pilar y creemos que el cultivo en casa es un complemento natural para la gente que los elige, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,Agregado 2026-04-21 (zonas San Isidro/Pilar/Torcuato/Pacheco/Campana)
126,Sabores de Oriente,Dietetica,Martínez / San Isidro / Boulogne,@saboresdeoriente,-,https://instagram.com/saboresdeoriente,Media,"Cadena dietética zona norte, múltiples locales","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta saludable que tienen en Sabores de Oriente y creemos que el cultivo en casa es un complemento natural para la gente que los elige, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta saludable que tienen en Sabores de Oriente y creemos que el cultivo en casa es un complemento natural para la gente que los elige, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,Agregado 2026-04-21 (zonas San Isidro/Pilar/Torcuato/Pacheco/Campana)
127,Vivero en Casa Don Torcuato,Vivero,"España 1085, Don Torcuato",@viveroencasadon,+541138697180,https://instagram.com/viveroencasadon,Alta,Vivero barrial con IG activo y delivery,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero en Casa Don Torcuato con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero en Casa Don Torcuato con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,Agregado 2026-04-21 (zonas San Isidro/Pilar/Torcuato/Pacheco/Campana)
128,Pacheco Grow Shop,Growshop,"Sarmiento 17, General Pacheco",-,+541123091385,-,Alta,"Growshop local, canal directo","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que creemos que el laburo que hacen en Pacheco Grow Shop con todo el tema cultivo tiene mucho valor y encaja perfecto con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que creemos que el laburo que hacen en Pacheco Grow Shop con todo el tema cultivo tiene mucho valor y encaja perfecto con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,Agregado 2026-04-21 (zonas San Isidro/Pilar/Torcuato/Pacheco/Campana)
129,Vivero El Sol,Vivero,"Av. de los Constituyentes 1055, General Pacheco",@el.sol.vivero,+541168890151,https://instagram.com/el.sol.vivero,Alta,"Vivero grande 38k IG, potencial alto volumen","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero El Sol con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero El Sol con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,Agregado 2026-04-21 (zonas San Isidro/Pilar/Torcuato/Pacheco/Campana)
130,Vivero Martinez,Vivero,"Boulogne Sur Mer 648, General Pacheco",@martinezvivero,+541147368840,https://instagram.com/martinezvivero,Alta,Garden center establecido en Pacheco con IG activo,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Martinez con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Martinez con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,Agregado 2026-04-21 (zonas San Isidro/Pilar/Torcuato/Pacheco/Campana)
131,Vivero Los Pioneros,Vivero,Campana,@viverolospioneros,-,https://instagram.com/viverolospioneros,Media,Vivero con presencia en IG en Campana,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Los Pioneros con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Los Pioneros con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,Agregado 2026-04-21 (zonas San Isidro/Pilar/Torcuato/Pacheco/Campana)
132,Vivero Espacios Campana Ropi,Vivero,"M. Barca 2231, Campana",-,-,-,Media,"Ofrece huertas móviles y aromáticas, sinergia clara","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Espacios Campana Ropi con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Espacios Campana Ropi con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,Agregado 2026-04-21 (zonas San Isidro/Pilar/Torcuato/Pacheco/Campana)
133,Todo Re-Suelto Campana,Dietetica,Campana (centro),@todoresueltosl,+5493489545315,https://instagram.com/todoresueltosl,Alta,"Dietética pionera en Campana, público orgánico","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta saludable que tienen en Todo Re-Suelto Campana y creemos que el cultivo en casa es un complemento natural para la gente que los elige, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta saludable que tienen en Todo Re-Suelto Campana y creemos que el cultivo en casa es un complemento natural para la gente que los elige, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,Agregado 2026-04-21 (zonas San Isidro/Pilar/Torcuato/Pacheco/Campana)
134,1921 Market Mercado Natural,Dietetica,"Ángel T. de Alvear 735, Don Torcuato",@1921market.dietetica,+541127601395,https://instagram.com/1921market.dietetica,Alta,"Mercado natural Don Torcuato, público target","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta saludable que tienen en 1921 Market Mercado Natural y creemos que el cultivo en casa es un complemento natural para la gente que los elige, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta saludable que tienen en 1921 Market Mercado Natural y creemos que el cultivo en casa es un complemento natural para la gente que los elige, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,Agregado 2026-04-21 (zonas San Isidro/Pilar/Torcuato/Pacheco/Campana)
135,Dietética Natural Don Torcuato,Dietetica,"Triunvirato 1517, Don Torcuato",@dietetica_natural_don_torcuato,-,https://instagram.com/dietetica_natural_don_torcuato,Media,Dietética con IG activo y delivery,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta saludable que tienen en Dietética Natural Don Torcuato y creemos que el cultivo en casa es un complemento natural para la gente que los elige, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta saludable que tienen en Dietética Natural Don Torcuato y creemos que el cultivo en casa es un complemento natural para la gente que los elige, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,Agregado 2026-04-21 (zonas San Isidro/Pilar/Torcuato/Pacheco/Campana)
136,HC Ferretería Don Torcuato,Ferreteria,Don Torcuato,@hcferreteria,-,https://instagram.com/hcferreteria,Media,"Ferretería desde 1982, IG activo","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi que en HC Ferretería Don Torcuato la gente se acerca para armar sus proyectos, y creemos que las huertas hidropónicas pueden ser un producto lindo para sumar, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi que en HC Ferretería Don Torcuato la gente se acerca para armar sus proyectos, y creemos que las huertas hidropónicas pueden ser un producto lindo para sumar, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,Agregado 2026-04-21 (zonas San Isidro/Pilar/Torcuato/Pacheco/Campana)
137,Vivero Punto Verde,Vivero,"Villa Adelina, San Isidro",@vivero.puntoverde,+5491154225264,https://instagram.com/vivero.puntoverde,Alta,"Vivero activo con Instagram en San Isidro. Vende plantas y materiales de jardín.","Hola! Vi que tienen el vivero en Villa Adelina y qué buena propuesta para la zona. Nosotros hacemos kits de huerta urbana hidropónica y me pareció que podría complementar perfecto lo que ya ofrecen. ¿Les cuento?","Hola! Vi que tienen el vivero en Villa Adelina y qué buena propuesta para la zona. Nosotros hacemos kits de huerta urbana hidropónica y me pareció que podría complementar perfecto lo que ya ofrecen. ¿Les cuento?",Nuevo,,
138,Qinti Wasi,Vivero,"Boulogne Sur Mer, San Isidro",@qinti.wasi,+5491168620307,https://instagram.com/qinti.wasi,Alta,"Vivero de plantas nativas en Boulogne. Perfil orgánico y artesanal. Ideal para kits de huerta.","Hola! Vi que trabajan con plantas nativas en Boulogne y me encantó la propuesta. Nosotros hacemos kits de huerta urbana hidropónica y pensé que podría ir muy bien junto a lo que hacen. ¿Les cuento un poco?","Hola! Vi que trabajan con plantas nativas en Boulogne y me encantó la propuesta. Nosotros hacemos kits de huerta urbana hidropónica y pensé que podría ir muy bien junto a lo que hacen. ¿Les cuento un poco?",Nuevo,,
139,Jardín Primitivo Growshop,Growshop,"Av. Ángel Torcuato de Alvear 575, Don Torcuato",@jardin_primitivo_grows,+5491132853421,https://instagram.com/jardin_primitivo_grows,Alta,"Growshop especializado con 15K seguidores. Revende productos de terceros. Don Torcuato.","Hola! Vi que tienen Jardín Primitivo en Don Torcuato y el laburo que hacen con todo el tema cultivo es muy bueno. Nosotros fabricamos kits de huerta urbana hidropónica y nos pareció que encaja muy bien con lo que ya manejan. ¿Les cuento?","Hola! Vi que tienen Jardín Primitivo en Don Torcuato y el laburo que hacen con todo el tema cultivo es muy bueno. Nosotros fabricamos kits de huerta urbana hidropónica y nos pareció que encaja muy bien con lo que ya manejan. ¿Les cuento?",Nuevo,,
140,San Isidro 422 Growshop,Growshop,"Av. Centenario 1135, San Isidro",@sanisidro422,+541151128883,https://instagram.com/sanisidro422,Alta,"Growshop con más de 3000 productos de hidropónica. San Isidro.","Hola! Vi que están en San Isidro con todo el tema cultivo. Se nota que manejan muy bien la hidropónica. Nosotros hacemos kits de huerta urbana y pensamos que podrían complementar muy bien la oferta que ya tienen. ¿Puedo contarles?","Hola! Vi que están en San Isidro con todo el tema cultivo. Se nota que manejan muy bien la hidropónica. Nosotros hacemos kits de huerta urbana y pensamos que podrían complementar muy bien la oferta que ya tienen. ¿Puedo contarles?",Nuevo,,
141,Vivero Lomas de Manzanares,Vivero,"Río Luján, Pilar",@viverolomasdemanzanares,+5491130667738,https://instagram.com/viverolomasdemanzanares,Alta,"Vivero de 10 hectáreas en Pilar. Vende plantas a minoristas. Instagram con 3K seguidores.","Hola! Vi lo que hacen en Lomas de Manzanares y tremendo vivero que tienen en Pilar. Nosotros hacemos kits de huerta urbana hidropónica y me pareció que podría ir muy bien como producto complementario para su clientela. ¿Les cuento?","Hola! Vi lo que hacen en Lomas de Manzanares y tremendo vivero que tienen en Pilar. Nosotros hacemos kits de huerta urbana hidropónica y me pareció que podría ir muy bien como producto complementario para su clientela. ¿Les cuento?",Nuevo,,
142,Florería San Isidro,Florería,San Isidro,@floreria_si,+5491135588658,https://instagram.com/floreria_si,Media,"Florería con 50 años de trayectoria en San Isidro. Instagram activo.","Hola! Vi que tienen una florería con muchísima trayectoria en San Isidro. Qué genial. Nosotros hacemos kits de huerta urbana y pensé que podría ser un producto diferente y atractivo para su clientela. ¿Les cuento?","Hola! Vi que tienen una florería con muchísima trayectoria en San Isidro. Qué genial. Nosotros hacemos kits de huerta urbana y pensé que podría ser un producto diferente y atractivo para su clientela. ¿Les cuento?",Nuevo,,
